Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
8480,Bekegem,Ja,ICHTEGEM,WEST-VLAANDEREN
1730,Bekkerzeel,Ja,ASSE,VLAAMS-BRABANT
3460,Bekkevoort,Neen,BEKKEVOORT,VLAAMS-BRABANT
1009,Belgische Senaat,,Belgische Senaat,
5001,Belgrade,Ja,NAMUR,NAMEN
4610,Bellaire,Ja,BEYNE-HEUSAY,LUIK
7170,Bellecourt,Ja,MANAGE,HENEGOUWEN
5555,Bellefontaine,Ja,BIÈVRE,NAMEN
6730,Bellefontaine,Ja,TINTIGNY,LUXEMBURG
8510,Bellegem,Ja,KORTRIJK,WEST-VLAANDEREN
9881,Bellem,Ja,AALTER,OOST-VLAANDEREN
6834,Bellevaux,Ja,BOUILLON,LUXEMBURG
4960,Bellevaux-Ligneuville,Ja,MALMEDY,LUIK
1674,Bellingen,Ja,PEPINGEN,VLAAMS-BRABANT
7970,Beloeil,Neen,BELOEIL,HENEGOUWEN
9111,Belsele,Ja,SINT-NIKLAAS,OOST-VLAANDEREN
4500,Ben-Ahin,Ja,HUY,LUIK
6941,Bende,Ja,DURBUY,LUXEMBURG
3540,Berbroek,Ja,HERK-DE-STAD,LIMBURG
2600,Berchem,Ja,ANTWERPEN,ANTWERPEN
9690,Berchem,Ja,KLUISBERGEN,OOST-VLAANDEREN
2040,Berendrecht,Ja,ANTWERPEN,ANTWERPEN
1910,Berg,Ja,KAMPENHOUT,VLAAMS-BRABANT
3700,Berg,Ja,TONGEREN,LIMBURG
4360,Bergilers,Ja,OREYE,LUIK
3580,Beringen,Neen,BERINGEN,LIMBURG
2590,Berlaar,Neen,BERLAAR,ANTWERPEN
9290,Berlare,Neen,BERLARE,OOST-VLAANDEREN
3830,Berlingen,Ja,WELLEN,LIMBURG
4257,Berloz,Neen,BERLOZ,LUIK
4607,Berneau,Ja,DALHEM,LUIK
7320,Bernissart,Neen,BERNISSART,HENEGOUWEN
